name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial P5,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Neo Forza NFS01,,240,,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M480,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda Pro,206.98,10000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Toshiba N300,250.63,8000,0.031,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force GE Pro,265.99,2000,0.133,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Addlink S95,134.44,2000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar DC HC330,253.99,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Verbatim Vi7000G,105.49,1000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
NEMIX RAM NEMESIS,159.88,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM760,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda Pro Compute,24.99,500,0.05,7200,128,2.5,SATA 6.0 Gb/s
Western Digital Red,259,10000,0.026,5400,256,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY XLR8 CS3140 w/Heatsink,624.05,2000,0.312,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,,3000,,5400,64,3.5,SATA 6.0 Gb/s
Intel SSDMCEAW120A401,60,120,0.5,SSD,,mSATA,mSATA
Samsung Spinpoint M8,38.36,1000,0.038,5400,8,2.5,SATA 3.0 Gb/s
Western Digital Gold,419.99,20000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,142.44,4000,0.036,5900,64,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He12,255,12000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Transcend 110S,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 120,314.99,2000,0.157,SSD,,2.5,SATA 6.0 Gb/s
HP EX900 Plus,31.99,256,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Scorpio Blue,27.99,80,0.35,5400,8,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,149.94,1500,0.1,7200,32,3.5,SATA 3.0 Gb/s
Western Digital VelociRaptor,74.84,500,0.15,10000,64,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,,2000,,7200,128,3.5,SATA 6.0 Gb/s
Corsair MP400,307.17,2000,0.154,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba N300,,16000,,7200,512,3.5,SATA 6.0 Gb/s
Seagate EE25.2,,40,,5400,8,2.5,SATA 3.0 Gb/s
Kingston SSDNow E100,,200,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 850 Pro,,128,,SSD,,2.5,SATA 6.0 Gb/s
Intel DC P3700,1200,800,1.5,SSD,,PCIe,PCIe x4
SanDisk X400,,512,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX6000,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Crucial MX500,,250,,SSD,,M.2-2280,M.2 SATA
Toshiba P300,,500,,7200,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Q1,99.95,480,0.208,SSD,,2.5,SATA 6.0 Gb/s
Apacer AS350 PANTHER,,512,,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM610,36.99,250,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,,480,,SSD,,M.2-2280,M.2 SATA
Inland QN322,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,96,6000,0.016,7200,128,3.5,SAS 12.0 Gb/s
Seagate Exos X16,,10000,,7200,256,3.5,SATA 6.0 Gb/s
Patriot Viper VPR400 RGB,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
VisionTek PRO XPN,422.02,2000,0.211,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar Professional NM800PRO w/Heatsink,79.99,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,69.98,1500,0.047,5400,64,3.5,SATA 3.0 Gb/s
Seagate Barracuda Green,,1500,,5900,64,3.5,SATA 6.0 Gb/s
Transcend MTS800,38.86,32,1.214,SSD,,M.2-2280,M.2 SATA
Western Digital Black,62.99,1000,0.063,7200,32,2.5,SATA 6.0 Gb/s
Western Digital Black,278.5,6000,0.046,7200,128,3.5,SATA 6.0 Gb/s
Transcend SSD230S,26.99,128,0.211,SSD,,2.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,79.99,250,0.32,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,59,320,0.184,7200,16,3.5,SATA 6.0 Gb/s
Western Digital RE,145,5000,0.029,7200,128,3.5,SATA 6.0 Gb/s
Samsung SM961,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,,1000,,SSD,2048,M.2-2280,M.2 PCIe 5.0 X4
Crucial MX200,,250,,SSD,,2.5,SATA 6.0 Gb/s
Maxtor 7Y250M0,,250,,7200,8,3.5,SATA 1.5 Gb/s
ADATA SU635,,480,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital SN520,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Seagate FireCuda 510,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA PLUS G2,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba N300,325.5,12000,0.027,7200,,3.5,SATA 6.0 Gb/s
Western Digital PC SN740 Pyrite,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Enterprise Capacity,124,8000,0.015,7200,256,3.5,SAS 6.0 Gb/s
Acer Predator GM7,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance +Rescue,72.95,2000,0.036,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Blue,69.84,250,0.279,SSD,,M.2-2280,M.2 SATA
Seagate ST4000NM0034,112.39,4000,0.028,7200,128,3.5,SAS 12.0 Gb/s
Toshiba XG6,42.99,512,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk EXTREME PRO,82.99,500,0.166,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Addlink A95,939.44,8000,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend MTS400,37.79,32,1.181,SSD,,M.2-2242,M.2 SATA
Seagate Exos X18,379.47,18000,0.021,7200,256,3.5,SATA 6.0 Gb/s
KingSpec VP101,199.99,1000,0.2,SSD,,M.2-2280,M.2 PCIe 5.0 X4
GameStop 23VG-GSPL-GameStop NVMe SSD-Heatsink-2TB,169.99,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,,1000,,SSD,,M.2-2280,M.2 SATA
Seagate Enterprise,362.48,12000,0.03,7200,256,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,,4000,,7200,128,3.5,SATA 6.0 Gb/s
HP FX700,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Scorpio Blue,,500,,5400,8,2.5,SATA 3.0 Gb/s
Western Digital Red Plus,,1000,,5400,64,3.5,SATA 6.0 Gb/s
Seagate Barracuda 7200.10,,160,,7200,8,3.5,SATA 3.0 Gb/s
Seagate ST3000DM002,,3000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Purple,71,2000,0.035,5400,64,3.5,SATA 6.0 Gb/s
Micron 1100,,256,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP GX2,,128,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP GX1,33.67,480,0.07,SSD,,2.5,SATA 6.0 Gb/s
Inland Platinum,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C710,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea II TUF Gaming Alliance,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,36.99,512,0.072,SSD,,2.5,SATA 6.0 Gb/s
Netac NV7000-t,57.99,512,0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lenovo S4520,,7680,,SSD,,3.5,SATA 6.0 Gb/s
Mushkin ELEMENT,106.99,2000,0.053,SSD,,2.5,SATA 6.0 Gb/s
Toshiba N300,318.99,18000,0.018,7200,,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,144.99,4000,0.036,7200,128,3.5,SATA 6.0 Gb/s
Toshiba MG07ACA12TE,229.99,12000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K4000,,4000,,7200,64,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,240,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP Z440 Lite,45.99,500,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink S20,32.99,512,0.064,SSD,,2.5,SATA 6.0 Gb/s
NEMIX RAM NEMESIS,318.99,4000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300,146,4000,0.036,7200,128,3.5,SATA 6.0 Gb/s
Intel 760p,109,1000,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY XLR8 CS3140 w/Heatsink,237.11,1000,0.237,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE Z44A7,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos 7E10 512n,130.37,4000,0.033,7200,256,3.5,SATA 6.0 Gb/s
PNY CS2241,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,93.75,500,0.188,SSD,,2.5,SATA 6.0 Gb/s
PNY XLR8 CS3030,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Prime,72.98,1000,0.073,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,,500,,7200,16,3.5,PATA 100
Seagate Momentus Thin,29,320,0.091,7200,16,2.5,SATA 3.0 Gb/s
ADATA Legend 850,79.98,512,0.156,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Supermicro HDD-T4000-ST4000NM00,,4000,,7200,128,3.5,SATA 6.0 Gb/s
Crucial MX200,,500,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 750 EVO,,120,,SSD,,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,,480,,SSD,,2.5,SATA 6.0 Gb/s
Kingston A1000,,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst,,480,,SSD,,2.5,SATA 6.0 Gb/s
Crucial BX500,,960,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,234,8000,0.029,7200,256,3.5,SATA 6.0 Gb/s
Patriot P300,47.38,512,0.093,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2500,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 120,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte M30,76.94,512,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba L200,78.99,2000,0.039,5400,128,2.5,SATA 6.0 Gb/s
Inland TN325,54.99,512,0.107,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Addlink S20,61.44,1000,0.061,SSD,,2.5,SATA 6.0 Gb/s
Inland TN450,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S50 Lite,334.19,2000,0.167,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital BLACK SN850 Call of Duty Edition,217,1000,0.217,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M470,666.92,2000,0.333,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Oyen Digital E18-8TBICS5,869,8000,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink A93 PS5,152.99,2000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,1500,1200,1.25,SSD,,PCIe,PCIe x4
Seagate Barracuda Compute,138.96,6000,0.023,5400,256,3.5,SATA 6.0 Gb/s
Intel 320,70.97,40,1.774,SSD,,2.5,SATA 3.0 Gb/s
Seagate ST500VM000,23.99,500,0.048,5900,64,3.5,SATA 6.0 Gb/s
Seagate Exos 7E8,95,4000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300,195.32,6000,0.033,7200,256,3.5,SATA 6.0 Gb/s
KIOXIA BG5,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Constellation ES.2,,3000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,228.81,6000,0.038,5400,64,3.5,SATA 6.0 Gb/s
Western Digital Green,66,240,0.275,SSD,,2.5,SATA 6.0 Gb/s
Intel 760p,119.99,512,0.234,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM893,84.98,240,0.354,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Vortex-LX,75.99,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple Surveillance,84.99,3000,0.028,5400,256,3.5,SATA 6.0 Gb/s
Samsung Spinpoint F1 DT,,1000,,7200,32,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,,250,,7200,8,3.5,SATA 3.0 Gb/s
Crucial M500,,480,,SSD,,2.5,SATA 6.0 Gb/s
AMD RADEON-R7SSD-120G,,120,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Momentus,,1000,,5400,8,2.5,SATA 6.0 Gb/s
Toshiba X300,,5000,,7200,128,3.5,SATA 6.0 Gb/s
SanDisk X400,,128,,SSD,,M.2-2280,M.2 SATA
Gigabyte GP-GSM2NE8256GNTD,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Inland Professional,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
ADATA Swordfish,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8100,499.99,4000,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Water Panther Arsenal,,14000,,7200,256,3.5,SATA 6.0 Gb/s
KingSpec XF,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda PCIe,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P310,204.99,2000,0.102,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Inland TN325,84.99,1000,0.085,SSD,,M.2-2242,M.2 PCIe 3.0 X4
TEAMGROUP CX1,28.99,480,0.06,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A55,,1000,,SSD,,M.2-2280,M.2 SATA
MSI SPATIUM M371,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
GOODRAM PX700,272.39,2048,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WDBMMA0030HNC-NRSN,69.98,3000,0.023,5400,64,3.5,SATA 6.0 Gb/s
Transcend MTS400,152.15,256,0.594,SSD,,M.2-2242,M.2 SATA
Inland 2TB NVME PREMIUM,189.99,2000,0.095,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8100,146.24,512,0.286,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A80,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 110S,29.99,256,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba S300,106.07,2000,0.053,5400,128,3.5,SATA 6.0 Gb/s
Intel D3-S4620,605,3840,0.158,SSD,,2.5,SATA 6.0 Gb/s
Addlink S95,929.99,8000,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Archive HDD v2,,6000,,5900,128,3.5,SATA 6.0 Gb/s
Western Digital Blue,,500,,SSD,,M.2-2280,M.2 SATA
Micron 5200 Ion,1069,7680,0.139,SSD,,2.5,SATA 6.0 Gb/s
Neo Forza NFS01,,480,,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A58,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,,320,,7200,8,3.5,SATA 3.0 Gb/s
Samsung 830,,256,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Pipeline HD,,2000,,5900,64,3.5,SATA 3.0 Gb/s
Western Digital Purple,,1000,,5900,64,3.5,SATA 6.0 Gb/s
Toshiba XG5,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Pilot-E,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2000,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2130,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,440.18,18000,0.024,7200,512,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,,4000,,5000,256,3.5,SATA 6.0 Gb/s
Seagate Exos X22,,22000,,7200,512,3.5,SATA 6.0 Gb/s
Seagate Exos X18,264.99,12000,0.022,7200,256,3.5,SATA 6.0 Gb/s
Inland 1TB TD510 NVME,149.99,1000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
XOC SP900,107,2000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black,19.95,500,0.04,7200,64,3.5,SATA 6.0 Gb/s
PNY XLR8 CS3040,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,239.99,8000,0.03,7200,256,3.5,SATA 6.0 Gb/s
Kingston NV3,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland QN322,38.99,500,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar Professional NM800PRO w/Heatsink,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP400,151.65,1000,0.152,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S50 Core,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS,113.59,500,0.227,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2230,88.99,500,0.178,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S101,24.98,256,0.098,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,75.6,250,0.302,7200,8,3.5,SATA 3.0 Gb/s
Western Digital Caviar Blue,,160,,7200,8,3.5,SATA 3.0 Gb/s
Western Digital Caviar Green,72.41,1000,0.072,5400,32,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,,2000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital RE4,65,1000,0.065,7200,64,3.5,SATA 3.0 Gb/s
Western Digital RE4,,2000,,7200,64,3.5,SATA 3.0 Gb/s
Samsung 840,,250,,SSD,,2.5,SATA 6.0 Gb/s
Kingston Savage,,240,,SSD,,2.5,SATA 6.0 Gb/s
Samsung PM951,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,80,240,0.333,SSD,,M.2-2280,M.2 SATA
Toshiba XG5,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Micron 1100,,512,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar,,1000,,7200,32,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABF050M,,500,,5400,8,2.5,SATA 6.0 Gb/s
PNY CS2130,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda Compute,,2000,,,,2.5,SATA 6.0 Gb/s
KingSpec NE-2280,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NX-2280,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Timetec 35TTFP6PCIE,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Nextorage NEM-PA,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1031,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280Q4U,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE Z44A5,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer FA200,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
XOC SP900,78,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE MINI,139.99,2000,0.07,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Intel DC P4510,163.99,2000,0.082,SSD,,2.5,U.2
Seagate IronWolf 525,612.39,2000,0.306,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750 Rev2,114.99,500,0.23,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,177.99,6000,0.03,5640,128,3.5,SATA 6.0 Gb/s
Western Digital Black,270.79,4000,0.068,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Purple,242.39,8000,0.03,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda 540 w/Heatsink,,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Lenovo S4520,207.95,480,0.433,SSD,,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,33.72,500,0.067,5400,8,2.5,SATA 6.0 Gb/s
Intel 600p,189,1000,0.189,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S11 Pro,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A80,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 120,77.17,500,0.154,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP CX1,17.99,240,0.075,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Green,,1000,,5400,64,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F2 EG,,1000,,5400,32,3.5,SATA 3.0 Gb/s
Seagate SV35.5,89.95,500,0.18,5900,16,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,,3000,,7200,64,3.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,,240,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,,480,,SSD,,2.5,SATA 6.0 Gb/s
Samsung SM961,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
XPG GAMMIX S10,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM1633a,,15360,,SSD,,2.5,SAS 12.0 Gb/s
ADATA XPG SX8200 480,,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU800,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS RGB,,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN520,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
XPG SX6000 Lite,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S11 Pro,239.67,2000,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS340 PANTHER,,120,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
HP S700,55.93,250,0.224,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PLAY,,2000,,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Micron 5300 PRO,,7680,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Barracuda PCIe,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250H,94.06,1000,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Nextorage NN5PRO,,2000,,SSD,4096,M.2-2280,M.2 PCIe 4.0 X8
Western Digital Purple Pro,242,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,240,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,324.94,14000,0.023,7200,512,3.5,SATA 6.0 Gb/s
Verbatim Vi550,24.99,256,0.098,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,24.99,500,0.05,5400,128,2.5,SATA 6.0 Gb/s
Western Digital SN530,149.94,1024,0.146,SSD,,M.2-2230,M.2 PCIe 3.0 X4
Western Digital Blue SN500,88.98,250,0.356,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Seagate EXOS Enterprise,150,4000,0.037,7200,256,3.5,SATA 6.0 Gb/s
Intel X25-V,59.99,40,1.5,SSD,,2.5,SATA 3.0 Gb/s
Intel DC P3600,996,1600,0.623,SSD,,PCIe,PCIe x4
Seagate Exos X16,,12000,,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300,378,16000,0.024,7200,512,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,18.98,500,0.038,5400,16,3.5,SATA 3.0 Gb/s
Seagate IronWolf NAS,,2000,,5900,64,3.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,120,,SSD,,2.5,SATA 6.0 Gb/s
Oyen Digital Dash Pro w/Heat Sink,339,4000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Nextorage G-Series LE,79.99,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,,2000,,7200,64,3.5,SATA 3.0 Gb/s
Hitachi Travelstar 5K500.B,,250,,5400,8,2.5,SATA 3.0 Gb/s
Western Digital Caviar Green,,1500,,7200,64,3.5,SATA 6.0 Gb/s
Crucial M500,164.99,240,0.687,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K6000,,4000,,7200,128,3.5,SAS 12.0 Gb/s
Crucial MX300,,525,,SSD,,M.2-2280,M.2 SATA
Western Digital Green,,120,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black NVMe,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,,2000,,7200,128,3.5,SATA 6.0 Gb/s
ADATA SU635,,240,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 10000,,1000,,SSD,2048,M.2-2280,M.2 PCIe 5.0 X4
FanXiang S660,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red SA500,124.52,1000,0.125,SSD,,M.2-2280,M.2 SATA
Seagate SkyHawk AI,209.99,8000,0.026,7200,256,3.5,SATA 6.0 Gb/s
Intel DC P3600,352,400,0.88,SSD,,PCIe,PCIe x4
Timetec 30TTQNS3SATA-2TB,95.99,2000,0.048,SSD,,2.5,SATA 6.0 Gb/s
Integral M2,,1024,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,249.58,3000,0.083,5400,128,2.5,SATA 6.0 Gb/s
Seagate Momentus 5400.6,32,500,0.064,5400,8,2.5,SATA 3.0 Gb/s
Hitachi Travelstar 5K1000,,1000,,5400,8,2.5,SATA 6.0 Gb/s
HP EX950,175.99,2000,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise Performance,173,600,0.288,15000,256,2.5,SAS 12.0 Gb/s
Seagate SkyHawk AI,543.69,18000,0.03,7200,256,3.5,SATA 6.0 Gb/s
HP EX900 Plus,46.99,512,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
